Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -1535.6490   -1535.6490       0.0000     0.0
0.0100       -1535.6443   -1535.6473       0.0029     5.6
0.0200       -1535.6450   -1535.6480       0.0030     5.7
0.0300       -1535.6399   -1535.6441       0.0042     8.2
0.0400       -1535.6334   -1535.6375       0.0041     8.0
0.0500       -1535.6330   -1535.6366       0.0036     6.9
0.0600       -1535.6313   -1535.6333       0.0020     3.9
0.0700       -1535.6227   -1535.6342       0.0115    22.3
0.0800       -1535.6204   -1535.6367       0.0163    31.5
0.0900       -1535.6287   -1535.6417       0.0130    25.1
0.1000       -1535.6148   -1535.6433       0.0285    55.2
0.1100       -1535.6154   -1535.6461       0.0306    59.2
0.1200       -1535.6197   -1535.6440       0.0243    47.0
0.1300       -1535.6131   -1535.6427       0.0296    57.2
0.1400       -1535.6050   -1535.6436       0.0385    74.5
0.1500       -1535.6010   -1535.6334       0.0324    62.7
0.1600       -1535.5874   -1535.6228       0.0354    68.4
0.1700       -1535.5830   -1535.6333       0.0503    97.3
0.1800       -1535.5875   -1535.6274       0.0400    77.3
0.1900       -1535.5941   -1535.6385       0.0444    86.0
0.2000       -1535.5837   -1535.6288       0.0451    87.3
0.2100       -1535.5864   -1535.6289       0.0425    82.2
0.2200       -1535.5850   -1535.6308       0.0457    88.4
0.2300       -1535.5847   -1535.6107       0.0259    50.2
0.2400       -1535.5786   -1535.6191       0.0405    78.3
0.2500       -1535.5860   -1535.6257       0.0397    76.7
0.2600       -1535.5938   -1535.6228       0.0290    56.0
0.2700       -1535.5915   -1535.6333       0.0417    80.7
0.2800       -1535.5812   -1535.6153       0.0341    66.0
0.2900       -1535.5864   -1535.6206       0.0342    66.2
0.3000       -1535.5785   -1535.6094       0.0309    59.8
0.3100       -1535.5789   -1535.6077       0.0288    55.8
0.3200       -1535.5792   -1535.6208       0.0416    80.5
0.3300       -1535.5885   -1535.6210       0.0325    62.9
0.3400       -1535.5684   -1535.6055       0.0371    71.7
0.3500       -1535.5621   -1535.6020       0.0399    77.2
0.3600       -1535.5646   -1535.5859       0.0213    41.2
0.3700       -1535.5506   -1535.5890       0.0384    74.3
0.3800       -1535.5516   -1535.5831       0.0315    60.9
0.3900       -1535.5610   -1535.5866       0.0256    49.5
0.4000       -1535.5546   -1535.5945       0.0399    77.1
0.4100       -1535.5402   -1535.5838       0.0437    84.5
0.4200       -1535.5227   -1535.5747       0.0520   100.6
0.4300       -1535.5096   -1535.5868       0.0772   149.3
0.4400       -1535.5125   -1535.5627       0.0503    97.2
0.4500       -1535.4847   -1535.5483       0.0636   123.0
0.4600       -1535.4857   -1535.5608       0.0751   145.3
0.4700       -1535.5050   -1535.5650       0.0600   116.1
0.4800       -1535.5085   -1535.6021       0.0935   180.9
0.4900       -1535.4975   -1535.5997       0.1022   197.7
0.5000       -1535.4762   -1535.6045       0.1283   248.2
0.5100       -1535.4611   -1535.6361       0.1750   338.5
0.5200       -1535.4355   -1535.5792       0.1437   278.0
0.5300       -1535.4493   -1535.5976       0.1483   286.8
0.5400       -1535.4398   -1535.5848       0.1450   280.5
0.5500       -1535.4518   -1535.5500       0.0982   190.0
0.5600       -1535.4395   -1535.6044       0.1649   318.9
0.5700       -1535.4244   -1535.5755       0.1511   292.2
