Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -1535.6490   -1535.6490       0.0000     0.0
0.0100       -1535.2879   -1535.5553       0.2674   517.1
0.0200       -1535.1302   -1535.4240       0.2938   568.2
0.0300       -1535.2306   -1535.4066       0.1760   340.3
0.0400       -1535.3792   -1535.4271       0.0478    92.5
0.0500       -1535.3108   -1535.3629       0.0521   100.8
0.0600       -1535.0831   -1535.3041       0.2210   427.4
0.0700       -1535.0150   -1535.0645       0.0495    95.7
0.0800       -1535.0083   -1535.2706       0.2623   507.4
0.0900       -1535.0340   -1535.2026       0.1686   326.1
0.1000       -1534.9711   -1535.1655       0.1945   376.1
0.1100       -1535.0688   -1535.2400       0.1712   331.1
0.1200       -1534.9341   -1535.0811       0.1470   284.2
0.1300       -1534.9683   -1535.0778       0.1096   211.9
0.1400       -1535.0527   -1535.1014       0.0487    94.1
0.1500       -1534.7099   -1535.0019       0.2920   564.8
0.1600       -1534.8081   -1535.0287       0.2205   426.5
0.1700       -1534.8381   -1535.0254       0.1873   362.3
0.1800       -1534.9011   -1535.0227       0.1216   235.2
0.1900       -1534.7782   -1534.8788       0.1005   194.5
0.2000       -1534.7641   -1534.9761       0.2120   410.0
0.2100       -1534.6339   -1534.9137       0.2798   541.1
0.2200       -1534.7762   -1534.9387       0.1625   314.3
0.2300       -1534.7218   -1534.9115       0.1897   367.0
0.2400       -1534.5184   -1534.7538       0.2355   455.4
0.2500       -1534.6038   -1534.7971       0.1932   373.7
0.2600       -1534.5183   -1534.6093       0.0910   176.1
0.2700       -1534.6530   -1534.8583       0.2052   397.0
0.2800       -1534.4191   -1534.7768       0.3577   691.9
0.2900       -1534.4097   -1534.6949       0.2853   551.7
0.3000       -1534.2513   -1534.7447       0.4934   954.4
0.3100       -1534.6476   -1534.7899       0.1423   275.2
0.3200       -1534.5429   -1534.8066       0.2636   509.9
0.3300       -1534.2792   -1534.5151       0.2359   456.2
0.3400       -1534.3886   -1534.6860       0.2973   575.1
0.3500       -1534.5191   -1534.7103       0.1912   369.7
0.3600       -1534.5176   -1534.6812       0.1636   316.5
0.3700       -1534.6336   -1534.7593       0.1257   243.1
0.3800       -1534.6934   -1534.7495       0.0560   108.3
0.3900       -1534.3674   -1534.6914       0.3240   626.6
0.4000       -1534.2094   -1534.6273       0.4178   808.1
0.4100       -1534.3426   -1534.5520       0.2094   404.9
0.4200       -1534.5991   -1534.6841       0.0850   164.4
0.4300       -1534.4196   -1534.5432       0.1236   239.0
0.4400       -1534.4199   -1534.6098       0.1899   367.3
0.4500       -1534.0522   -1534.4937       0.4416   854.0
0.4600       -1534.4657   -1534.5610       0.0952   184.2
0.4700       -1534.4456   -1534.6157       0.1701   329.0
0.4800       -1534.1565   -1534.5327       0.3762   727.7
0.4900       -1534.1713   -1534.5534       0.3821   739.0
