Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -331.3614    -331.7325       0.3710   410.1
0.0100        -331.3918    -331.5019       0.1101   121.7
0.0200        -331.1736    -331.2852       0.1116   123.3
0.0300        -331.1613    -331.2956       0.1343   148.4
0.0400        -331.0200    -331.2487       0.2287   252.8
0.0500        -331.0064    -331.2308       0.2244   248.0
0.0600        -331.0455    -331.1206       0.0752    83.1
0.0700        -330.7153    -331.0251       0.3098   342.4
0.0800        -330.3993    -330.7796       0.3804   420.4
0.0900        -330.5361    -330.7586       0.2224   245.8
0.1000        -330.4915    -330.6700       0.1785   197.3
0.1100        -330.5527    -330.7627       0.2099   232.0
0.1200        -330.5701    -330.8085       0.2384   263.5
0.1300        -330.5926    -330.6755       0.0829    91.6
0.1400        -330.5408    -330.7964       0.2556   282.5
0.1500        -330.7071    -330.9110       0.2039   225.3
0.1600        -330.8252    -331.1327       0.3075   339.8
0.1700        -331.0595    -331.2951       0.2356   260.3
0.1800        -331.1730    -331.3192       0.1462   161.6
0.1900        -330.9908    -331.2237       0.2329   257.4
0.2000        -330.8493    -331.1291       0.2799   309.3
0.2100        -330.5731    -330.7594       0.1863   205.9
0.2200        -330.6552    -330.7505       0.0954   105.4
0.2300        -330.6699    -330.9039       0.2341   258.7
0.2400        -330.5931    -330.8417       0.2486   274.8
0.2500        -330.6541    -330.8151       0.1611   178.0
0.2600        -330.4106    -330.6470       0.2364   261.2
0.2700        -330.4179    -330.7371       0.3192   352.8
0.2800        -330.6263    -331.0323       0.4060   448.7
0.2900        -330.8981    -331.1401       0.2419   267.4
0.3000        -330.9855    -331.1759       0.1904   210.4
0.3100        -331.1228    -331.3968       0.2740   302.8
0.3200        -331.0001    -331.3169       0.3168   350.1
0.3300        -331.3104    -331.4892       0.1788   197.6
0.3400        -331.0800    -331.5108       0.4308   476.1
0.3500        -331.2733    -331.7359       0.4626   511.3
0.3600        -331.3532    -331.6863       0.3331   368.1
0.3700        -331.5054    -331.6264       0.1210   133.7
0.3800        -331.4804    -331.6137       0.1334   147.4
0.3900        -331.4725    -331.6046       0.1321   146.0
0.4000        -331.1590    -331.4933       0.3342   369.4
0.4100        -331.2105    -331.5495       0.3390   374.6
0.4200        -331.4670    -331.8236       0.3566   394.1
0.4300        -331.6035    -331.9408       0.3373   372.8
0.4400        -331.6833    -331.9560       0.2727   301.4
0.4500        -331.7779    -332.0503       0.2724   301.1
0.4600        -331.7835    -331.9913       0.2078   229.6
0.4700        -331.6745    -331.9596       0.2850   315.0
0.4800        -331.6673    -331.9070       0.2397   264.9
0.4900        -331.5803    -331.7964       0.2161   238.8
0.5000        -331.5813    -331.7508       0.1695   187.3
0.5100        -331.4943    -331.6661       0.1718   189.9
0.5200        -331.3657    -331.5602       0.1945   215.0
0.5300        -331.3311    -331.4754       0.1443   159.4
0.5400        -331.1836    -331.3910       0.2074   229.2
0.5500        -331.1693    -331.4139       0.2446   270.3
0.5600        -331.0825    -331.3067       0.2242   247.8
0.5700        -330.9386    -331.1721       0.2335   258.1
0.5800        -330.7035    -331.0264       0.3230   356.9
0.5900        -330.7265    -331.0018       0.2753   304.2
0.6000        -330.7101    -330.9374       0.2273   251.2
0.6100        -330.6292    -330.8375       0.2082   230.1
0.6200        -330.4148    -330.7101       0.2954   326.4
0.6300        -330.4268    -330.7231       0.2963   327.4
0.6400        -330.4280    -330.7029       0.2749   303.8
0.6500        -330.2051    -330.4634       0.2583   285.5
0.6600        -330.1013    -330.3259       0.2247   248.3
0.6700        -330.0094    -330.2681       0.2587   285.9
0.6800        -329.8310    -330.1827       0.3517   388.7
0.6900        -329.8943    -330.0409       0.1466   162.0
0.7000        -329.6803    -330.0129       0.3326   367.6
0.7100        -329.7082    -329.9777       0.2694   297.8
0.7200        -329.6841    -329.8111       0.1270   140.4
0.7300        -329.6537    -329.7708       0.1171   129.4
0.7400        -329.4299    -329.5861       0.1561   172.5
0.7500        -329.3717    -329.4838       0.1121   123.9
0.7600        -329.1568    -329.3751       0.2183   241.3
0.7700        -329.0066    -329.2235       0.2169   239.7
0.7800        -329.0685    -329.1522       0.0837    92.5
0.7900        -328.8471    -329.0928       0.2458   271.6
0.8000        -328.6640    -328.9658       0.3018   333.6
0.8100        -328.6882    -329.0835       0.3952   436.8
0.8200        -329.1919    -329.7809       0.5891   651.0
0.8300        -330.2208    -330.8860       0.6652   735.1
0.8400        -330.8275    -331.1983       0.3708   409.8
0.8500        -330.8466    -331.0159       0.1692   187.1
0.8600        -330.8350    -331.0320       0.1970   217.8
0.8700        -330.7856    -330.9772       0.1917   211.8
0.8800        -330.5874    -330.8142       0.2268   250.7
0.8900        -330.6189    -330.8435       0.2247   248.3
0.9000        -330.4986    -330.8053       0.3067   339.0
0.9100        -330.3376    -330.5959       0.2582   285.4
0.9200        -330.3773    -330.5385       0.1612   178.2
0.9300        -330.3021    -330.5259       0.2238   247.3
0.9400        -329.9255    -330.2917       0.3662   404.8
0.9500        -330.1538    -330.3786       0.2248   248.4
0.9600        -330.0782    -330.4353       0.3572   394.7
0.9700        -330.1627    -330.3299       0.1672   184.8
0.9800        -329.9225    -330.2932       0.3706   409.6
0.9900        -330.1990    -330.5285       0.3294   364.1
1.0000        -330.4512    -330.7150       0.2637   291.5
1.0100        -330.4588    -330.6376       0.1788   197.6
1.0200        -330.3970    -330.5366       0.1396   154.3
1.0300        -330.3185    -330.4160       0.0975   107.8
1.0400        -330.2389    -330.3914       0.1526   168.6
1.0500        -330.1914    -330.3954       0.2040   225.4
1.0600        -329.8969    -330.1920       0.2951   326.1
1.0700        -329.8381    -330.1169       0.2789   308.2
1.0800        -329.6677    -330.0214       0.3538   391.0
1.0900        -329.6840    -329.9378       0.2538   280.4
1.1000        -329.7290    -329.9513       0.2223   245.7
1.1100        -329.5726    -329.7332       0.1607   177.6
1.1200        -329.4950    -329.5880       0.0931   102.8
1.1300        -329.3204    -329.5812       0.2608   288.2
1.1400        -329.3119    -329.5160       0.2042   225.6
1.1500        -329.2018    -329.3668       0.1649   182.3
1.1600        -328.7862    -329.0271       0.2408   266.2
1.1700        -328.8527    -329.1367       0.2839   313.8
1.1800        -328.9713    -329.1172       0.1459   161.3
1.1900        -328.7693    -329.0355       0.2662   294.2
1.2000        -328.8156    -329.0476       0.2321   256.5
1.2100        -328.8282    -329.1210       0.2927   323.5
1.2200        -328.9165    -329.1960       0.2795   308.9
1.2300        -328.7829    -329.1724       0.3895   430.4
1.2400        -329.0430    -329.4150       0.3720   411.1
1.2500        -329.2039    -329.4938       0.2899   320.4
